10000 2
-42 34 1
-96 81 1
-85 -65 1
-17 -91 1
76 -76 1
29 -47 0
60 -61 0
-60 -79 1
-8 -73 1
-72 -90 1
-25 38 1
-44 -84 1
-47 34 1
48 -4 0
-29 27 0
-60 11 0
35 -30 1
80 -9 1
59 53 1
-36 -90 0
72 -89 1
6 -56 0
53 -30 0
-22 -20 0
87 -60 1
49 -73 0
-76 -20 1
11 -47 1
93 73 1
37 -66 1
89 82 0
-91 55 1
80 -99 0
26 -82 1
26 -17 0
-46 47 1
29 -20 0
41 -2 1
37 86 1
64 -76 1
-58 -86 1
-40 -73 0
-91 -84 1
88 9 1
18 60 0
71 86 0
51 37 0
45 -47 0
82 -74 0
41 -73 1
97 40 0
-73 6 0
-13 45 0
92 -79 0
-33 10 0
60 58 1
3 52 1
-94 48 0
-29 -93 1
-33 -24 0
-28 -26 0
64 3 1
88 -9 1
89 45 0
-37 15 0
71 -70 0
51 27 0
-14 -97 1
-77 92 0
78 -2 1
20 -81 0
-15 71 0
-96 -38 0
99 45 1
11 -82 1
-37 16 1
-23 -13 0
1 82 1
11 -90 0
-36 -82 0
100 60 0
-47 8 1
83 87 1
-41 3 0
28 44 0
-83 -86 1
-77 72 0
68 -1 0
12 71 1
-62 17 0
91 56 1
-52 -73 0
-50 -85 0
-31 97 0
-68 54 0
10 -20 1
77 93 0
18 -57 1
-66 -98 0
61 39 1
97 -42 1
-68 96 0
70 35 1
-28 -63 0
-62 67 0
58 -85 1
-1 6 1
-26 25 0
67 23 0
-10 94 1
22 9 0
10 -53 0
-21 97 0
-69 -59 0
2 -53 1
95 -41 1
-8 60 0
81 18 0
55 -85 1
3 -38 0
80 -98 0
-84 72 0
-61 27 0
-90 -96 1
32 58 1
18 -56 1
-15 -100 0
7 -24 1
-69 54 0
-80 -48 0
86 91 1
97 31 0
6 -25 1
-14 -73 1
4 -26 1
-49 51 0
-74 24 0
53 -64 0
78 1 1
53 -56 0
54 62 0
-1 73 1
25 28 1
-62 6 0
22 -52 1
-13 5 1
96 32 0
-59 -36 0
-11 -64 0
-42 -17 1
77 56 0
-99 14 1
1 19 1
95 1 0
61 51 0
-42 29 0
-65 31 1
65 -43 0
-44 -100 1
54 51 0
38 10 0
-60 -81 1
-20 -87 1
-34 65 1
34 32 1
18 -29 1
15 23 0
84 26 1
-34 15 0
-11 -100 1
-78 -35 0
76 93 0
17 94 1
-23 65 1
-67 24 0
-50 -27 0
-38 -78 1
28 49 1
69 -23 0
26 -75 1
60 13 0
-78 36 1
58 -47 1
60 -57 0
-30 -87 1
27 -28 1
53 20 0
-52 27 0
-97 -21 1
-47 -7 1
-47 -24 1
-21 -48 1
-65 67 0
-65 -19 1
-30 -59 0
79 -34 0
76 -82 1
-9 -6 0
64 9 0
-19 20 1
-32 12 1
65 -48 0
71 4 0
61 12 1
-38 3 0
72 -34 1
21 -14 1
96 53 0
-50 -79 1
47 91 1
-93 77 1
32 -40 0
-44 -82 1
-64 73 0
49 16 0
0 51 0
25 49 0
-37 -76 1
-11 49 0
64 51 1
90 -72 0
-83 -12 0
33 -13 0
51 -63 1
-18 -83 0
48 38 1
58 -13 1
-20 -39 0
-61 -88 0
81 24 0
84 -90 1
97 92 0
74 -4 1
-21 15 1
-82 60 0
-23 73 1
4 -35 0
10 -52 0
-63 42 0
56 -28 0
-64 38 0
-56 -90 0
58 66 1
-12 17 0
-43 -23 0
-32 54 0
60 -25 1
100 -32 1
7 -95 1
41 -45 1
8 -84 1
42 76 0
-21 5 1
4 -48 0
31 -57 0
-27 -21 0
-49 54 1
-87 -48 1
-60 -100 1
-31 100 1
-41 -17 0
33 -42 0
-29 43 1
-78 26 1
34 -73 1
-82 -29 1
-45 -77 1
-75 47 1
-19 48 0
-68 48 0
97 71 1
-34 -39 0
-82 -40 1
-99 72 0
42 -80 1
61 47 0
53 16 1
-29 19 0
75 -66 0
-26 39 1
-22 -58 0
98 -60 1
-72 29 1
-34 92 1
-34 26 0
27 -48 0
-66 -3 1
-96 -10 1
32 -33 0
68 -25 0
-40 -14 0
91 55 0
-8 -4 1
1 -39 0
-5 70 0
-1 -66 1
23 -34 0
-33 81 0
-88 36 1
-35 -58 0
49 19 1
-43 -24 1
84 -97 0
2 -20 1
97 -29 0
0 95 1
44 60 0
-36 36 0
-51 -62 1
85 62 0
49 -88 0
92 -78 1
21 8 1
62 -85 1
19 50 0
58 -94 1
-31 -100 0
23 -59 1
-73 34 1
38 -19 1
45 -62 0
-57 -91 1
-60 -15 1
-72 -86 0
8 -79 0
-63 69 0
-13 -12 1
-84 30 1
32 66 0
93 -33 0
13 74 0
89 -27 1
81 -58 0
8 -84 0
49 -100 0
-16 -92 0
87 -53 1
14 69 1
-84 -48 0
-44 -22 1
85 -46 0
62 -50 0
99 97 0
-47 0 0
36 -41 1
-41 92 0
35 76 1
85 -57 1
23 39 0
-6 -73 0
-66 -99 1
21 86 0
10 27 1
51 -74 1
-27 88 0
8 -15 1
87 -2 0
-28 -9 0
-49 -47 0
96 57 0
73 -34 0
-26 18 0
-61 -41 1
37 -26 0
76 -41 0
-9 -97 1
-86 -32 1
-27 -61 0
-71 -40 0
13 53 1
-13 -98 0
32 93 0
4 -33 0
30 -74 1
-91 3 0
-96 -21 0
-57 41 1
97 53 0
-7 51 1
-44 58 1
77 -64 1
-44 -16 0
71 -26 1
-65 -42 0
-12 -82 0
14 -26 0
17 -83 1
2 -8 0
49 -21 1
44 90 1
65 58 0
13 72 0
-28 21 0
-35 5 1
30 60 1
87 2 1
-55 -84 1
21 56 1
-25 -40 1
79 -7 1
90 75 1
-49 83 1
46 70 0
-63 16 1
-24 -32 0
-79 99 0
-54 98 1
-56 70 0
87 83 0
96 -63 1
-31 -35 0
-74 -94 1
6 -14 0
-91 70 0
12 -25 1
-91 -20 0
38 58 0
-67 -26 1
100 -48 0
-75 80 1
14 -91 1
76 15 0
67 -66 0
-25 60 1
-18 -52 1
-75 56 0
-83 -15 0
70 -69 1
-84 -34 0
-14 -34 0
91 78 0
52 93 1
41 -58 1
94 -43 1
-39 42 0
-42 1 0
-16 46 1
57 42 0
31 -10 1
-92 15 1
14 -78 1
51 66 0
-72 47 1
0 -19 0
-4 72 0
55 -1 1
-9 -21 1
-85 39 1
49 -97 0
21 -5 0
-90 -89 1
-61 17 1
31 -81 1
-16 69 1
71 -37 0
-54 -90 0
-40 91 1
11 71 1
87 -15 1
-48 57 1
-56 -72 1
-8 71 0
81 63 0
88 -1 1
77 23 0
-18 38 0
55 64 0
-75 -85 0
-63 -18 0
-41 -5 1
-41 24 0
77 69 0
-89 -19 0
-38 -83 1
79 -22 0
-86 -24 0
-35 -23 0
-27 54 0
32 -2 1
-30 -51 0
-71 -91 1
-40 -96 1
21 -42 0
-51 -26 1
60 40 1
94 37 0
-46 68 0
-70 50 0
6 -40 1
61 -87 0
94 -35 0
53 89 1
97 -67 0
-85 -97 0
-52 -8 1
21 -22 0
-79 -49 1
61 59 1
-73 19 0
20 61 0
55 52 0
-64 77 1
97 -98 0
-27 7 1
-34 75 1
-80 -49 0
-74 78 1
-46 18 1
-61 -26 0
61 -5 1
-93 -14 1
-59 30 1
0 -88 0
-52 -91 1
67 91 1
-3 -31 1
-10 -11 0
99 -38 1
-38 -87 1
-33 2 1
12 73 0
14 30 1
-42 62 1
29 -35 0
-38 1 0
40 47 0
57 99 1
-69 21 1
97 -25 1
71 -69 0
49 36 1
-42 -58 1
82 27 1
87 63 0
-26 62 1
-32 -74 0
-10 22 1
-93 -18 0
26 -97 0
-45 44 1
60 35 1
85 45 0
-30 44 1
-79 -57 1
12 -48 0
70 4 0
-61 -33 0
77 5 0
13 -9 1
-89 -36 1
-78 -83 0
-43 22 0
-95 -55 0
-100 19 0
-15 61 0
80 20 1
46 52 0
43 -38 0
-57 -48 0
-43 31 0
-38 -80 1
34 -75 1
-40 84 1
0 85 0
78 -32 1
-82 13 0
95 86 0
68 31 1
24 30 0
9 11 1
6 73 1
83 16 1
-3 16 0
21 95 0
-56 11 0
62 49 1
-84 54 1
98 -55 0
20 77 0
-80 -68 1
64 -56 1
18 31 0
10 31 1
22 88 0
25 69 0
47 57 0
-74 -9 1
-45 39 0
-29 89 0
-5 -25 1
-89 72 0
54 40 1
90 18 0
77 83 1
55 -29 1
-45 46 1
21 29 1
-84 40 0
-71 -99 1
-68 65 0
-88 85 1
-2 -12 0
-41 24 0
58 -89 1
-65 70 0
40 -89 1
-93 84 1
-40 39 1
-97 40 0
-100 58 1
-60 -49 1
4 2 0
-29 63 1
-87 5 0
-17 -49 1
-53 89 1
-64 -52 0
73 88 1
23 -74 0
-63 -7 0
87 16 1
-45 88 0
26 -88 0
45 -5 0
73 88 1
21 14 0
19 -30 0
-34 -17 0
17 65 1
-32 -65 0
-91 -26 1
62 71 1
-71 -1 1
-69 43 1
60 55 1
-56 -82 0
-23 56 0
92 -83 1
-81 -15 0
44 -89 0
-38 -70 0
47 44 0
17 -20 0
-40 93 0
92 44 0
82 17 0
-33 -82 0
-48 29 0
16 73 1
91 28 1
-28 -19 1
62 -99 0
50 26 1
-23 -47 0
-70 86 0
-21 -44 1
-90 -62 1
-24 -96 0
-11 -28 0
-62 88 0
77 20 0
-47 -45 0
53 -77 1
-3 14 1
-43 -58 1
-29 72 0
-62 -89 0
-56 67 1
-52 -95 1
-66 20 1
8 -3 0
-7 -8 0
-80 -67 0
0 -42 0
23 -19 0
-58 99 0
-88 68 1
-12 61 1
52 -75 0
-100 41 1
63 -77 1
-94 -47 0
-55 -80 0
-90 -21 0
48 11 1
-88 -85 1
38 -76 0
-39 -97 0
35 -15 0
-53 92 1
-21 -76 1
100 -40 0
-65 -70 1
-56 22 0
-70 -93 1
-78 -10 1
-93 -95 0
-21 -56 0
-100 -31 1
2 -26 1
-16 57 0
-92 -24 1
-32 -67 1
-68 -74 1
15 52 1
-99 40 1
3 27 1
66 -66 0
18 33 0
-84 -7 1
96 98 1
97 -31 1
86 -18 1
27 -82 1
-24 -60 0
-2 76 1
-22 -42 1
1 -27 1
-77 -65 0
-60 -51 1
93 17 1
30 -100 0
67 25 1
39 28 1
57 -77 1
4 -66 1
91 24 1
70 4 0
-90 64 0
93 93 1
-83 55 1
18 -92 0
-50 51 0
-38 35 1
-46 -41 1
28 74 0
92 93 0
3 87 1
72 25 1
-16 -72 1
-72 -96 0
-80 -65 0
-66 -95 1
-96 -15 1
-69 -87 0
38 -60 0
-27 97 1
-13 50 1
55 -65 0
88 -5 0
-65 -57 0
99 -94 0
-52 42 0
22 14 0
2 -98 0
75 -75 1
7 33 1
3 -49 1
45 -81 1
-82 -21 0
-100 -25 0
-44 -83 1
30 40 0
27 -67 0
15 97 0
29 97 0
-96 -21 0
96 -91 1
36 37 0
42 68 0
19 -69 1
94 38 1
81 -36 0
63 98 1
-38 -23 0
-93 -29 1
53 -11 1
31 -1 1
-87 73 1
88 -16 1
24 -78 1
0 -80 0
-11 -74 0
68 -84 1
93 43 0
2 93 1
5 31 1
77 -78 0
80 -28 1
-10 7 0
72 -15 1
-21 -39 1
52 16 0
-90 -6 1
-51 33 0
0 -65 1
90 -79 0
31 -70 1
-87 44 1
-22 39 0
-61 77 1
52 -72 1
90 -51 1
-69 24 1
18 -25 1
-9 -59 0
-55 59 0
-45 -74 0
-88 69 1
-15 62 1
41 12 0
56 -30 0
-60 -25 0
-36 -37 0
-37 5 0
-70 33 1
16 6 1
-37 -51 1
-41 -69 1
62 92 0
87 -42 0
9 -95 1
34 -50 0
20 -87 0
-61 -68 0
-24 59 0
52 -4 1
71 31 1
-25 -67 1
91 -15 0
58 -55 0
-19 -20 1
-95 -11 0
-39 -32 1
4 -80 0
-16 82 0
15 -1 0
-49 -5 1
23 65 1
-74 -24 1
17 2 1
-20 44 1
71 89 0
-18 -62 0
-26 60 0
-9 -1 0
-82 55 1
-5 41 1
48 -100 1
-36 -19 0
25 -25 0
-20 -70 1
-41 98 0
-89 -94 1
-62 100 0
39 -93 0
-34 79 1
77 25 0
-16 -70 1
100 -56 0
19 40 0
-72 -32 1
-36 27 0
43 -36 1
72 -54 1
-8 72 0
-43 -74 0
85 20 0
58 -15 0
-14 71 0
97 43 0
-51 -38 0
62 33 0
-19 48 1
-17 -74 1
-92 18 0
23 20 1
100 -35 0
70 74 1
36 27 0
-74 100 0
-14 -51 1
19 -31 1
-61 -46 1
-56 -17 0
-79 -41 0
-16 40 0
95 -41 0
-50 -3 0
36 -34 1
74 76 0
99 16 0
68 34 0
47 67 0
51 -39 0
-46 -52 1
-13 -84 1
56 77 0
5 -96 0
-2 62 0
65 -14 0
-79 40 0
36 -17 1
-3 39 1
-14 10 0
56 -70 1
25 -7 1
14 -33 0
100 10 0
97 88 0
16 23 0
57 14 0
9 -32 1
82 -13 0
38 -40 0
-28 -91 1
11 -82 0
76 70 0
-77 -49 0
76 -25 0
-63 25 0
-47 -68 1
91 -77 0
29 20 1
95 15 0
-44 -79 0
81 -17 0
-68 6 0
20 63 0
-40 1 1
78 27 0
43 49 0
48 -60 0
-12 38 0
93 26 1
82 94 0
-67 -45 0
-48 -73 0
-77 -7 1
25 -37 1
-60 65 1
-22 47 1
-92 -8 0
-96 -69 1
72 68 0
6 -14 1
44 54 1
79 -64 0
42 88 1
1 -100 0
86 -74 1
-86 4 0
-27 93 0
36 -57 0
98 4 0
-17 -58 1
-13 -33 1
-53 54 1
4 57 0
62 -68 0
-45 -67 1
5 28 0
-33 -92 0
80 48 1
-36 81 1
5 85 0
73 44 1
62 -82 1
71 -93 1
-67 32 0
59 90 1
14 -7 0
-17 -79 1
-63 -9 0
77 33 1
81 30 0
-81 -59 1
15 15 1
69 -23 0
-13 17 1
45 -28 0
-97 14 0
-32 29 1
0 -12 0
-54 -77 0
-19 -29 1
13 98 0
1 -25 1
-39 -32 0
-87 55 1
-68 87 0
52 34 1
4 83 1
-3 -93 1
-63 14 0
-91 -59 0
74 -60 1
-11 49 0
-44 63 0
40 27 0
-16 89 0
-68 15 1
89 71 1
-2 75 0
5 3 1
-37 -53 1
22 -83 1
-88 77 0
-43 -64 0
44 -90 1
10 -74 1
-36 -66 0
-60 -56 1
4 8 0
26 47 0
-50 20 0
-59 36 0
-19 -21 1
32 20 0
75 -55 0
-55 -5 1
-69 -28 1
-54 -53 0
67 -56 0
-19 50 0
14 -38 0
-79 49 1
82 30 1
-39 -65 1
-58 85 0
91 51 1
-37 56 1
80 -100 0
-5 15 1
-54 -16 1
-70 34 1
97 28 0
37 -5 0
4 -20 0
-3 -29 1
26 -7 0
-67 77 1
30 -78 1
39 -89 1
-21 82 1
97 -25 1
98 -76 1
33 75 0
83 -54 1
-77 90 0
14 37 0
-68 94 1
-21 -89 1
88 -65 1
96 24 0
-91 6 0
-62 -31 1
43 75 0
-72 -41 1
85 34 1
-75 -13 1
65 1 1
-9 -78 0
25 -38 0
-21 -31 0
49 -62 1
21 -84 1
-84 -84 1
56 16 1
-67 -97 1
60 94 0
-55 -89 0
-27 45 0
12 91 1
-23 36 0
-34 -35 1
-90 -61 0
-13 59 1
-14 -62 0
-35 83 0
89 -46 1
-17 -16 0
81 53 0
42 75 0
39 88 1
52 -67 0
1 60 0
25 96 1
-67 -29 0
-34 -92 0
27 -58 1
-49 92 1
-14 -94 1
-42 94 1
-55 -74 0
53 12 1
-79 85 1
-82 59 0
-30 -9 1
0 6 1
17 77 1
16 96 1
-6 69 1
40 30 0
76 15 1
-96 87 0
-53 -14 1
56 -49 1
25 -22 1
65 82 0
61 -83 0
94 62 0
-79 -37 1
32 -70 1
40 19 0
32 -28 1
-3 -34 0
91 31 0
46 -47 1
-94 -9 0
49 -20 0
-56 87 0
-54 35 0
64 -39 1
88 -10 1
8 -91 0
9 63 0
-72 2 0
-31 48 1
-76 23 0
-59 -15 1
-33 -28 0
16 3 1
56 71 0
-21 74 0
-18 -30 0
16 25 0
-73 -17 0
-85 -71 1
-42 -65 0
-83 -57 0
-82 -68 1
58 37 0
31 -30 0
-58 69 0
39 -52 0
-47 -70 0
49 75 1
68 -95 1
54 -43 1
-11 -70 1
88 4 0
-14 -91 1
53 8 0
-90 -84 0
-58 14 0
83 43 0
-5 71 1
0 79 0
-30 34 1
7 55 1
82 40 1
-85 -90 1
-45 -67 1
20 98 1
4 -15 0
-49 3 1
-62 100 0
-86 -11 1
91 58 1
-73 66 0
72 -1 1
-99 91 0
-75 -36 0
84 6 0
9 80 1
-54 -48 1
59 43 0
-48 27 0
12 -94 1
-34 -57 1
6 -92 0
-48 -41 0
-48 -44 1
56 72 0
38 32 0
-15 -94 0
53 52 1
-44 -53 0
-100 75 1
-80 55 1
-60 -53 0
-82 77 1
91 88 1
-22 35 1
36 5 0
-88 -51 0
5 80 0
16 -95 0
-95 96 0
82 17 0
-94 -45 1
94 45 0
-79 51 0
18 -56 0
56 12 0
21 86 1
-86 -36 0
-58 -98 1
46 -20 1
46 -12 1
-42 -6 0
-66 18 1
-9 -43 1
33 -31 0
-80 -12 0
2 -30 0
-37 95 0
-78 -20 1
8 87 0
-5 100 1
87 69 0
-79 19 1
56 75 0
34 -95 0
-41 -77 1
59 51 0
37 -62 0
90 43 1
16 56 0
66 -24 1
-75 -36 1
81 6 0
-35 99 1
-10 -48 1
-1 8 1
19 -54 1
80 -43 1
-89 74 0
89 -56 0
-52 -13 0
55 82 1
-94 -63 1
86 97 0
-65 -40 0
43 40 1
92 19 1
62 -44 0
-21 -92 0
-32 99 0
-61 -52 0
-46 -56 0
17 -33 0
-76 97 0
-59 -46 0
-37 100 0
85 -98 0
-24 67 0
-32 -82 0
-88 85 0
71 -47 1
-41 80 1
-69 -59 0
93 23 0
71 52 1
-40 68 0
73 -77 1
-75 14 1
-17 12 0
-45 -29 1
-32 -84 0
92 42 1
16 77 1
18 66 0
69 55 1
-69 -22 1
45 92 0
-2 -44 0
-38 -87 1
79 52 1
-38 -24 1
93 -90 0
-92 62 0
-9 80 1
-49 -72 1
-36 49 0
72 -34 1
-37 -8 1
21 38 0
-65 -5 0
-21 24 0
-17 39 0
95 -47 1
-30 -2 0
36 89 1
-64 -87 0
31 40 0
82 17 0
59 -58 1
73 34 1
96 -27 1
39 86 1
-26 -98 0
-45 -5 1
7 30 0
-22 -3 1
-50 -56 0
-31 34 1
62 34 0
91 -12 0
39 5 0
-72 -31 0
-62 51 1
69 -29 0
-8 19 1
-40 -34 0
59 47 1
-35 85 0
-19 -77 0
-12 59 1
20 67 1
-87 -27 1
38 -4 1
89 -10 0
-84 2 0
-18 -88 0
-34 35 0
32 -9 1
-31 64 0
11 74 1
-68 20 0
-50 47 1
74 -68 1
77 -3 1
81 66 0
-70 69 1
-1 -90 0
59 -86 0
27 65 1
29 72 0
-100 92 0
-68 69 0
91 -16 0
9 -80 1
-72 22 1
-71 84 0
3 -27 0
44 87 0
-99 89 1
68 52 0
-99 28 0
24 -73 0
75 -53 1
88 19 1
-45 -74 0
30 -44 1
15 -40 1
-97 6 1
74 -57 0
0 -62 0
-98 -11 0
-78 -70 1
-54 31 0
10 44 0
-57 98 0
13 83 1
12 -13 1
-78 49 0
-98 -35 1
81 26 1
44 -86 1
77 -80 0
-7 81 0
-55 21 0
65 95 0
-31 44 1
-41 -43 1
-13 34 0
39 99 1
-24 -48 1
-26 97 1
7 50 0
47 30 1
-94 -68 1
-12 21 1
-75 -68 0
15 -76 0
-55 -21 0
-16 -18 0
46 -82 1
71 -71 1
-93 -51 0
77 85 1
76 45 1
28 75 0
65 45 1
60 -26 1
-15 -31 0
49 -19 1
93 34 1
28 34 0
-40 -84 1
25 46 0
18 18 0
-99 89 1
-60 -87 0
59 -93 0
83 -1 1
76 -76 1
65 -45 1
58 35 0
20 89 0
80 25 1
-77 45 1
-15 22 0
97 -65 1
-3 28 1
-8 73 1
-26 -29 1
-84 -86 0
-70 -87 0
-77 -32 0
61 47 1
51 -71 1
-54 24 1
36 43 1
-28 -95 0
47 87 0
80 -41 0
-86 -25 0
59 -85 0
23 41 1
-82 -44 0
-86 -71 1
46 38 1
-85 44 1
86 -89 0
-88 -96 1
-57 -41 1
81 -43 1
-48 -16 0
68 -26 0
78 52 1
1 35 1
-49 -84 0
-57 88 0
54 37 1
-87 -84 0
-53 -91 0
-57 -27 1
38 62 0
-27 33 1
96 92 1
30 -57 1
97 83 0
-11 -75 1
-10 60 1
65 -67 1
38 -74 0
50 22 1
-2 -74 0
-66 66 1
60 -4 0
-50 11 0
-68 -35 1
38 -20 1
69 -67 1
-39 69 0
-55 42 1
63 9 1
-26 -92 0
-56 11 0
77 -5 1
-7 -36 1
3 73 0
73 -35 1
30 -99 0
-22 81 0
-29 60 0
-87 -25 1
-96 -13 0
-70 -67 0
-95 61 1
83 31 1
20 -49 1
61 85 1
10 -9 0
-89 76 1
-95 40 1
-97 78 0
-44 -28 0
100 -72 1
-85 73 0
-46 96 0
51 -29 1
-36 -3 0
41 77 0
-65 -48 1
-95 0 0
99 3 1
-11 49 1
-18 -87 0
-48 -23 1
81 -31 1
-53 -4 1
-60 -22 0
0 53 1
-66 55 1
82 8 0
-56 8 0
17 4 1
-99 -78 1
-45 -17 0
-3 15 0
-70 64 1
-42 17 0
-24 18 1
-98 -79 1
-10 42 1
63 61 0
4 15 0
-8 5 1
-77 -79 1
-20 88 0
55 63 0
86 -30 0
-4 -56 1
-21 -25 0
46 -79 1
92 97 0
59 -44 1
17 -39 1
43 19 0
52 -31 1
66 -90 0
-48 -33 0
97 39 1
100 38 0
95 -4 0
45 -94 1
-15 -38 1
-46 -88 1
30 -55 0
-78 93 0
3 13 1
78 65 0
-63 7 0
63 -77 0
-52 -88 0
34 46 1
9 77 1
-77 65 0
27 18 0
80 32 0
9 -88 1
-2 20 0
-36 74 1
34 70 1
22 -49 0
-35 42 1
-46 -97 1
97 38 0
81 -25 0
-58 92 0
54 -91 1
54 8 0
65 21 0
68 48 1
64 -48 1
-45 -63 1
-7 -40 1
-16 -67 0
-51 -17 0
-90 -90 1
38 96 0
67 -60 1
-31 -11 1
6 86 0
23 82 1
-6 -97 1
52 -47 0
-68 -91 0
1 56 0
19 1 0
-84 90 0
-13 24 1
-51 -92 1
25 50 1
-100 -39 1
-98 55 1
41 -34 0
-62 1 1
2 35 0
23 -30 1
5 54 1
55 -49 1
91 -17 0
-46 -85 0
60 -58 1
-30 -23 0
14 -32 1
83 24 1
67 32 1
89 -14 1
92 -28 0
96 -5 0
21 6 0
70 39 1
-5 7 1
-89 51 0
-52 -83 0
96 -82 1
-97 -56 1
69 43 0
70 -93 0
-88 90 1
52 46 1
36 26 1
-48 -74 1
66 -75 0
42 88 1
-27 36 0
-81 -69 1
-46 -3 0
34 -94 1
50 45 1
-73 46 0
61 -89 1
-62 -1 0
-77 57 1
-48 68 0
51 47 1
-78 -92 1
-51 32 0
-43 -51 0
41 -85 0
46 -66 0
13 11 0
-62 -26 0
-95 78 0
43 -28 1
11 -95 1
-55 -19 0
61 -35 0
57 -11 0
97 38 1
78 78 0
27 79 1
21 -90 1
48 49 0
90 30 0
71 14 1
91 -99 1
-63 5 0
89 -94 0
-94 73 1
-72 -84 1
39 -4 1
12 44 1
29 -28 0
